onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005652779	2.7	forage	0	9.994	n/a	n/a	n/a	-1.187235719	66.66666667	20	43.90040742	0
19.89891891	2.7	engage	0	0.836	10.5	46	0	n/a	n/a	n/a	n/a	n/a
31.11154573	2.7	forage	0	11.749	n/a	n/a	n/a	10.35395772	71.66666667	10	41.17599718	0
48.13017918	2.7	engage	0	1.239	31.4	25.6	1	n/a	n/a	n/a	n/a	n/a
60.82086782	2.7	forage	0	1.261	n/a	n/a	n/a	-7.032010462	76.66666667	5	57.19684624	0
69.43047718	2.7	engage	0	2.837	79.75	25.25	1	n/a	n/a	n/a	n/a	n/a
79.71965782	2.7	forage	0	1.422	n/a	n/a	n/a	20.39349798	76.66666667	10	35.56450883	0
89.27772268	2.7	engage	0	0.594	8.2	53.2	0	n/a	n/a	n/a	n/a	n/a
100.11853	2.7	forage	0	1.568	n/a	n/a	n/a	9.988452962	75	10	45.44575223	0
106.8932709	2.7	engage	0	1.027	27.6	67.05	0	n/a	n/a	n/a	n/a	n/a
118.9338091	2.7	forage	0	3.204	n/a	n/a	n/a	-0.435625304	65	20	46.92580856	0
129.1586	2.7	engage	0	2.124	10.4	51.3	0	n/a	n/a	n/a	n/a	n/a
142.332869	2.7	forage	0	10.163	n/a	n/a	n/a	16.79433295	78.33333333	20	36.3604195	0
156.5068896	2.7	engage	0	0.966	20.1	60.2	0	n/a	n/a	n/a	n/a	n/a
166.4480641	2.7	forage	0	5.891	n/a	n/a	n/a	45.07333132	101.6666667	5	15.14858408	1
182.947396	2.7	forage	0	2.308	n/a	n/a	n/a	2.147142163	81.66666667	5	56.09579498	0
191.7047516	2.7	engage	0	2.249	34.65	46.2	0	n/a	n/a	n/a	n/a	n/a
201.0944957	2.7	forage	0	1.387	n/a	n/a	n/a	-6.991823014	73.33333333	20	58.67385946	0
209.9036059	2.7	engage	0	2.804	47.3	35.2	1	n/a	n/a	n/a	n/a	n/a
221.2096133	2.7	forage	0	4.544	n/a	n/a	n/a	4.181763157	71.66666667	20	43.89210804	0
231.6022998	2.7	engage	0	0.764	46.4	15.1	1	n/a	n/a	n/a	n/a	n/a
244.9466571	2.7	forage	0	6.232	n/a	n/a	n/a	31.41738175	93.33333333	20	25.31338967	0
256.0507991	2.7	engage	0	0.952	23.25	18.6	0	n/a	n/a	n/a	n/a	n/a
267.1921456	2.7	forage	0	1.432	n/a	n/a	n/a	-7.154472444	70	10	57.20348574	0
275.0162572	2.7	engage	0	0.664	39.25	50.05	1	n/a	n/a	n/a	n/a	n/a
287.1577949	2.7	forage	0	1.37	n/a	n/a	n/a	-3.906611002	83.33333333	20	60.57220462	0
295.1316915	2.7	engage	0	0.693	99	28	1	n/a	n/a	n/a	n/a	n/a
305.4731216	2.7	forage	0	1.41	n/a	n/a	n/a	-4.973524135	85	20	60.86129973	0
314.0331955	2.7	engage	0	0.658	88.8	49.7	0	n/a	n/a	n/a	n/a	n/a
326.7756668	2.7	forage	0	2.879	n/a	n/a	n/a	-16.83603273	66.66666667	20	64.60349077	0
334.7126356	2.7	engage	0	1.541	13.6	105.6	1	n/a	n/a	n/a	n/a	n/a
347.1561295	2.7	forage	0	2.273	n/a	n/a	n/a	-3.84477139	90	10	60.5	0
353.811388	2.7	engage	0	0.63	84.7	10.3	1	n/a	n/a	n/a	n/a	n/a
368.7553979	2.7	forage	0	14.84	n/a	n/a	n/a	18.17566353	71.66666667	10	30.95973543	0
387.5594284	2.7	engage	0	1.137	19	27.3	0	n/a	n/a	n/a	n/a	n/a
397.7718777	2.7	forage	0	9.73	n/a	n/a	n/a	-8.142818101	53.33333333	10	45.88368291	0
410.7079642	2.7	engage	0	3.589	19.25	38.7	1	n/a	n/a	n/a	n/a	n/a
