onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005641696	2.7	forage	0	4.998	n/a	n/a	n/a	22.83958386	86.66666667	5	35.56450883	1
17.36771747	2.7	forage	0	4.713	n/a	n/a	n/a	0.167739718	85	10	55	0
26.97747974	2.7	engage	0	2.251	36	8.8	1	n/a	n/a	n/a	n/a	n/a
39.54151428	2.7	forage	0	6.034	n/a	n/a	n/a	-9.951640595	75	20	60.5	0
52.69213953	2.7	engage	0	1.029	16.7	52.8	0	n/a	n/a	n/a	n/a	n/a
62.98158716	2.7	forage	0	9.69	n/a	n/a	n/a	38.70309508	85	20	15.14305115	1
78.36395611	2.7	forage	0	6.79	n/a	n/a	n/a	24.00223496	76.66666667	5	30.29716815	1
91.95083651	2.7	forage	0	2.03	n/a	n/a	n/a	-10.20182083	61.66666667	20	55.68967859	0
97.75604201	2.7	engage	0	1.889	42.9	44.4	0	n/a	n/a	n/a	n/a	n/a
108.8465061	2.7	forage	0	3.777	n/a	n/a	n/a	23.56600104	101.6666667	20	36.65643076	1
118.1630136	2.7	forage	0	2.365	n/a	n/a	n/a	-11.99904264	86.66666667	5	67.46816056	0
125.7877054	2.7	engage	0	2.934	31.85	29.4	0	n/a	n/a	n/a	n/a	n/a
136.1293079	2.7	forage	0	6.936	n/a	n/a	n/a	-12.24946264	76.66666667	10	65.74714552	0
146.2864252	2.7	engage	0	1.724	46.4	28.6	1	n/a	n/a	n/a	n/a	n/a
157.427922	2.7	forage	0	12.439	n/a	n/a	n/a	4.900563352	65	20	41.12509431	0
177.8344341	2.7	engage	0	2.054	37.6	28.6	0	n/a	n/a	n/a	n/a	n/a
187.5938848	2.7	forage	0	7.329	n/a	n/a	n/a	28.32761431	83.33333333	20	25.31338967	1
205.2297553	2.7	forage	0	1.848	n/a	n/a	n/a	-8.844152709	68.33333333	20	56.09579498	0
214.1322526	2.7	engage	0	5.011	25.2	24.2	0	n/a	n/a	n/a	n/a	n/a
226.4456361	2.7	forage	0	3.018	n/a	n/a	n/a	-2.503941787	80	10	58.67385946	0
233.3811121	2.7	engage	0	1.814	23.1	23.4	1	n/a	n/a	n/a	n/a	n/a
241.5900744	2.7	forage	0	6.046	n/a	n/a	n/a	15.21099542	81.66666667	10	38.15142598	1
256.4879711	2.7	forage	0	2.688	n/a	n/a	n/a	-26.06182788	70	5	71.4723354	0
263.2958389	2.7	engage	0	0.953	14.1	81.25	0	n/a	n/a	n/a	n/a	n/a
272.3036318	2.7	forage	0	4.337	n/a	n/a	n/a	-19.73731201	66.66666667	5	66	0
282.6613413	2.7	engage	0	0.852	8.2	92.4	0	n/a	n/a	n/a	n/a	n/a
291.8172293	2.7	forage	0	4.831	n/a	n/a	n/a	5.094418456	85	10	50.64669785	0
301.8934976	2.7	engage	0	1.899	19.5	21.5	1	n/a	n/a	n/a	n/a	n/a
310.68467	2.7	forage	0	6.043	n/a	n/a	n/a	15.87214258	85	10	41.12509431	0
320.8923781	2.7	engage	0	1.79	28.8	8.2	1	n/a	n/a	n/a	n/a	n/a
331.6366897	2.7	forage	0	13.049	n/a	n/a	n/a	29.12549838	103.3333333	10	30.95530909	1
351.5271465	2.7	forage	0	1.369	n/a	n/a	n/a	-3.215733615	86.66666667	20	58.14020925	0
357.3401792	2.7	engage	0	0.941	72.5	28.6	1	n/a	n/a	n/a	n/a	n/a
366.2302005	2.7	forage	0	14.612	n/a	n/a	n/a	14.65497376	71.66666667	10	35.40488406	1
388.2284076	2.7	forage	0	2.94	n/a	n/a	n/a	-7.645316299	70	20	54.31253458	0
397.0709883	2.7	engage	0	0.988	8.85	65	0	n/a	n/a	n/a	n/a	n/a
406.0322132	2.7	forage	0	3.894	n/a	n/a	n/a	0.317755646	61.66666667	20	45.87704341	0
413.1867258	2.7	engage	0	0.819	42.3	29.05	1	n/a	n/a	n/a	n/a	n/a
423.6432658	2.7	forage	0	3.749	n/a	n/a	n/a	8.421160907	91.66666667	20	51.20220311	0
430.4856008	2.7	engage	0	1.98	55.2	65	1	n/a	n/a	n/a	n/a	n/a
439.0100566	2.7	forage	0	10.814	n/a	n/a	n/a	-12.26410643	55	5	51.40636789	0
453.9842277	2.7	engage	0	1.24	67	30.75	1	n/a	n/a	n/a	n/a	n/a
467.3255189	2.7	forage	0	10.788	n/a	n/a	n/a	-1.278602686	55	10	41.7829586	0
482.2824652	2.7	engage	0	5.208	57.05	62.4	0	n/a	n/a	n/a	n/a	n/a
495.8921094	2.7	forage	0	11.688	n/a	n/a	n/a	11.41323542	76.66666667	10	42.53239274	0
512.8472012	2.7	engage	0	1.178	55.6	17.25	1	n/a	n/a	n/a	n/a	n/a
