onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005698631	2.7	forage	0	4.186	n/a	n/a	n/a	-28.58045035	56.66666667	10	68.93051154	0
14.34882106	2.7	engage	0	0.756	40	100.1	0	n/a	n/a	n/a	n/a	n/a
24.53985731	2.7	forage	0	1.461	n/a	n/a	n/a	-24.27998759	66.66666667	20	68.93051154	0
32.49879235	2.7	engage	0	0.895	17	57.85	0	n/a	n/a	n/a	n/a	n/a
41.6897154	2.7	forage	0	5.024	n/a	n/a	n/a	2.840288047	75	10	48.43269956	0
51.92993591	2.7	engage	0	1	47.7	21.6	1	n/a	n/a	n/a	n/a	n/a
61.87559981	2.7	forage	0	1.116	n/a	n/a	n/a	-5.407526449	75	20	56.53953523	0
68.42883821	2.7	engage	0	1.548	58.3	74.25	0	n/a	n/a	n/a	n/a	n/a
78.56979628	2.7	forage	0	1.969	n/a	n/a	n/a	-6.676889157	75	20	57.20348574	0
84.44457911	2.7	engage	0	1.518	32	61.05	0	n/a	n/a	n/a	n/a	n/a
97.68855604	2.7	forage	0	6.883	n/a	n/a	n/a	19.36004057	78.33333333	20	35.39824456	1
112.2848903	2.7	forage	0	2.236	n/a	n/a	n/a	33.78176483	88.33333333	10	20.58799859	1
121.6989461	2.7	forage	0	1.835	n/a	n/a	n/a	-21.30176383	65	5	66.37596197	0
131.6082881	2.7	engage	0	1.027	34.65	84.5	0	n/a	n/a	n/a	n/a	n/a
144.8479616	2.7	forage	0	1.567	n/a	n/a	n/a	1.985709974	78.33333333	20	51.19003068	0
152.7069999	2.7	engage	0	1.231	32	38.4	0	n/a	n/a	n/a	n/a	n/a
161.6462852	2.7	forage	0	1.139	n/a	n/a	n/a	-13.15935147	55	20	51.40636789	0
167.1894606	2.7	engage	0	1.245	41.5	34.25	0	n/a	n/a	n/a	n/a	n/a
178.2306554	2.7	forage	0	3.596	n/a	n/a	n/a	9.262589072	83.33333333	5	47.22541623	0
189.0880878	2.7	engage	0	0.714	57.2	72.45	0	n/a	n/a	n/a	n/a	n/a
199.0295612	2.7	forage	0	2.037	n/a	n/a	n/a	-1.271059471	78.33333333	20	55	0
206.853717	2.7	engage	0	0.627	62.5	9.6	1	n/a	n/a	n/a	n/a	n/a
217.0449875	2.7	forage	0	2.706	n/a	n/a	n/a	1.571035998	80	20	51.40636789	0
225.7191893	2.7	engage	0	1.041	38.5	39.75	0	n/a	n/a	n/a	n/a	n/a
235.7081695	2.7	forage	0	1.402	n/a	n/a	n/a	-22.66068608	75	20	68.91723253	0
241.4183165	2.7	engage	0	1.334	37.05	22.5	1	n/a	n/a	n/a	n/a	n/a
250.7759659	2.7	forage	0	0.833	n/a	n/a	n/a	-17.35620106	60	20	60.90666968	0
257.6506038	2.7	engage	0	1.207	43.2	63	0	n/a	n/a	n/a	n/a	n/a
265.891906	2.7	forage	0	1.524	n/a	n/a	n/a	-17.35625639	68.33333333	5	65.73607967	0
272.6997116	2.7	engage	0	2.743	49.4	52	0	n/a	n/a	n/a	n/a	n/a
281.7404371	2.7	forage	0	0.942	n/a	n/a	n/a	-25.56818068	63.33333333	5	70.45427795	0
287.4532145	2.7	engage	0	0.842	50.7	20.2	1	n/a	n/a	n/a	n/a	n/a
296.539423	2.7	forage	0	1.975	n/a	n/a	n/a	2.769060912	80	20	52.79568432	0
302.1521586	2.7	engage	0	0.925	34.2	75.5	0	n/a	n/a	n/a	n/a	n/a
311.3382971	2.7	forage	0	0.87	n/a	n/a	n/a	-23.88613584	60	20	65.73607967	0
318.1135904	2.7	engage	0	1.465	33.15	65.6	0	n/a	n/a	n/a	n/a	n/a
327.2582842	2.7	forage	0	0.715	n/a	n/a	n/a	-25.00006036	60	5	63.6050752	0
333.0626571	2.7	engage	0	1.363	82.5	71.4	0	n/a	n/a	n/a	n/a	n/a
342.2691989	2.7	forage	0	4.548	n/a	n/a	n/a	8.38650638	78.33333333	20	45.81396811	0
