onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005569556	2.7	forage	0	4.051	n/a	n/a	n/a	20.77916101	75	10	30.88199789	1
15.71094076	2.7	forage	0	1.119	n/a	n/a	n/a	-20.59594755	63.33333333	10	64.57693275	0
24.63119862	2.7	engage	0	0.94	75	14.6	1	n/a	n/a	n/a	n/a	n/a
35.76954131	2.7	forage	0	1.103	n/a	n/a	n/a	-18.52006941	68.33333333	5	66.37264222	0
46.47984909	2.7	engage	0	1.218	55.25	14.35	1	n/a	n/a	n/a	n/a	n/a
55.48487647	2.7	forage	0	5.757	n/a	n/a	n/a	9.0021176	80	10	45.8283537	1
66.88374621	2.7	forage	0	1.78	n/a	n/a	n/a	-18.7186275	70	5	66.37596197	0
73.57812951	2.7	engage	0	1.309	33.6	86.45	0	n/a	n/a	n/a	n/a	n/a
84.96962956	2.7	forage	0	1.809	n/a	n/a	n/a	-1.270118874	85	20	54.30478849	0
91.58052228	2.7	engage	0	1.057	67.5	12.3	1	n/a	n/a	n/a	n/a	n/a
100.8700321	2.7	forage	0	4.366	n/a	n/a	n/a	20.19167547	73.33333333	5	30.95530909	1
113.6037174	2.7	forage	0	1.986	n/a	n/a	n/a	30.09375954	81.66666667	20	20.56254716	1
121.763022	2.7	forage	0	2.604	n/a	n/a	n/a	-20.59626109	58.33333333	10	60.57220462	0
129.3080599	2.7	engage	0	0.752	75	17.6	1	n/a	n/a	n/a	n/a	n/a
138.4952596	2.7	forage	0	2.512	n/a	n/a	n/a	-7.950678202	70	5	57.19684624	0
146.245175	2.7	engage	0	1.148	90.2	40	1	n/a	n/a	n/a	n/a	n/a
154.2272471	2.7	forage	0	4.659	n/a	n/a	n/a	1.235870094	63.33333333	10	40.60444646	1
164.535366	2.7	forage	0	1.082	n/a	n/a	n/a	-15.01990678	65	10	54.31253458	0
170.1389215	2.7	engage	0	0.752	16.2	86.5	0	n/a	n/a	n/a	n/a	n/a
179.1984863	2.7	forage	0	1.422	n/a	n/a	n/a	-9.545542645	81.66666667	20	64.57693275	0
185.8545498	2.7	engage	0	2.238	61.2	23.2	1	n/a	n/a	n/a	n/a	n/a
196.2423864	2.7	forage	0	1.606	n/a	n/a	n/a	-2.020899351	81.66666667	20	56.54562145	0
204.9367751	2.7	engage	0	3.362	48.15	54.45	0	n/a	n/a	n/a	n/a	n/a
215.390638	2.7	forage	0	3.698	n/a	n/a	n/a	15.55276395	66.66666667	5	30.95530909	1
224.7032719	2.7	forage	0	1.95	n/a	n/a	n/a	0.925786765	60	10	41.7829586	1
237.0570305	2.7	forage	0	5.76	n/a	n/a	n/a	-6.464129906	66.66666667	20	49.5	0
248.6674242	2.7	engage	0	1.208	80.1	6.6	1	n/a	n/a	n/a	n/a	n/a
262.3073341	2.7	forage	0	1.238	n/a	n/a	n/a	-10.91221099	68.33333333	5	61.91947085	0
268.0995113	2.7	engage	0	1.097	51.5	43.2	1	n/a	n/a	n/a	n/a	n/a
279.6912618	2.7	forage	0	3.273	n/a	n/a	n/a	4.675908321	86.66666667	5	49.5	0
289.0315758	2.7	engage	0	2.884	14	23.85	0	n/a	n/a	n/a	n/a	n/a
300.4018061	2.7	forage	0	1.221	n/a	n/a	n/a	-12.77055312	68.33333333	20	61.76399577	0
310.0469792	2.7	engage	0	0.675	17.4	89.4	0	n/a	n/a	n/a	n/a	n/a
320.5846234	2.7	forage	0	2.016	n/a	n/a	n/a	-7.562359372	60	10	47.22541623	0
329.1291174	2.7	engage	0	3.921	80.55	67.6	1	n/a	n/a	n/a	n/a	n/a
347.1048446	2.7	forage	0	1.979	n/a	n/a	n/a	12.97084486	71.66666667	20	36.35848297	1
356.897621	2.7	forage	0	2.392	n/a	n/a	n/a	0.801425146	71.66666667	10	46.92580856	0
362.7967039	2.7	engage	0	1.256	49.5	12.2	1	n/a	n/a	n/a	n/a	n/a
375.4348385	2.7	forage	0	1.168	n/a	n/a	n/a	-11.48129034	86.66666667	20	65.65944872	0
381.3093098	2.7	engage	0	1.174	109.85	31.5	1	n/a	n/a	n/a	n/a	n/a
392.2995385	2.7	forage	0	2.792	n/a	n/a	n/a	39.42029073	86.66666667	5	15.14858408	1
403.9342848	2.7	forage	0	1.702	n/a	n/a	n/a	-0.226112033	68.33333333	20	50.62677934	0
409.5575023	2.7	engage	0	1.051	25.5	37.8	0	n/a	n/a	n/a	n/a	n/a
422.9131815	2.7	forage	0	1.36	n/a	n/a	n/a	-0.03731033	81.66666667	10	56.09579498	0
430.7562537	2.7	engage	0	1.153	28.8	89.65	0	n/a	n/a	n/a	n/a	n/a
441.160853	2.7	forage	0	1.079	n/a	n/a	n/a	-19.18455477	58.33333333	10	58.13854937	0
447.0056487	2.7	engage	0	2.129	74.8	83.5	0	n/a	n/a	n/a	n/a	n/a
458.4946656	2.7	forage	0	1.021	n/a	n/a	n/a	-12.80288383	80	20	66.18009657	0
466.1374305	2.7	engage	0	2.137	65	78	1	n/a	n/a	n/a	n/a	n/a
475.5263244	2.7	forage	0	2.002	n/a	n/a	n/a	-19.44264708	65	20	66.18009657	0
482.486404	2.7	engage	0	3.373	53	72.8	0	n/a	n/a	n/a	n/a	n/a
493.2119544	2.7	forage	0	1.369	n/a	n/a	n/a	0.025820297	75	20	54.30478849	0
502.1352319	2.7	engage	0	1.915	21.5	18.45	0	n/a	n/a	n/a	n/a	n/a
511.6913343	2.7	forage	0	1.11	n/a	n/a	n/a	17.5475848	75	20	35.55703938	1
522.5220224	2.7	forage	0	1.312	n/a	n/a	n/a	2.711463206	73.33333333	10	48.43269956	0
531.2170045	2.7	engage	0	1.869	35.1	7.95	1	n/a	n/a	n/a	n/a	n/a
542.2392106	2.7	forage	0	3.69	n/a	n/a	n/a	8.568207501	66.66666667	10	40.42545647	1
553.5714294	2.7	forage	0	1.207	n/a	n/a	n/a	31.43567728	76.66666667	5	20.30222323	1
563.9707293	2.7	forage	0	1.63	n/a	n/a	n/a	-1.43195681	70	20	49.5	0
570.9143371	2.7	engage	0	1.294	79.65	8.7	1	n/a	n/a	n/a	n/a	n/a
583.2030149	2.7	forage	0	1.248	n/a	n/a	n/a	-22.03649883	61.66666667	10	66.17179719	0
590.0464383	2.7	engage	0	1.018	115.05	69.5	1	n/a	n/a	n/a	n/a	n/a
597.8567534	2.7	forage	0	2.117	n/a	n/a	n/a	19.04811294	85	5	38.15142598	1
608.166705	2.7	forage	0	2.073	n/a	n/a	n/a	-19.28840769	70	20	68.91723253	0
618.8613982	2.7	engage	0	3.757	81.9	38	1	n/a	n/a	n/a	n/a	n/a
630.8647588	2.7	forage	0	2.933	n/a	n/a	n/a	0.441637745	78.33333333	10	54.31253458	0
636.7603228	2.7	engage	0	1.21	15.15	80.5	0	n/a	n/a	n/a	n/a	n/a
649.9371135	2.7	forage	0	1.093	n/a	n/a	n/a	-7.594321211	70	10	57.20348574	0
657.5949959	2.7	engage	0	1.932	13.25	48.95	0	n/a	n/a	n/a	n/a	n/a
666.7647018	2.7	forage	0	3.286	n/a	n/a	n/a	16.91769864	80	20	40.42545647	1
676.7477561	2.7	forage	0	1.062	n/a	n/a	n/a	-4.768252771	76.66666667	10	58.67385946	0
684.5411948	2.7	engage	0	1.962	70.95	27.8	1	n/a	n/a	n/a	n/a	n/a
