onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005661698	2.7	forage	0	2.722	n/a	n/a	n/a	12.16132321	80	10	40.43624566	1
17.92375322	2.7	forage	0	2.372	n/a	n/a	n/a	2.486974163	81.66666667	20	48.45261808	0
23.46469575	2.7	engage	0	1.023	18.6	62.55	0	n/a	n/a	n/a	n/a	n/a
32.56044161	2.7	forage	0	2.723	n/a	n/a	n/a	42.631764	90	10	15.14858408	1
43.08699044	2.7	forage	0	0.831	n/a	n/a	n/a	-16.15574166	61.66666667	5	61.91061818	0
48.62977811	2.7	engage	0	1.086	37.8	69.5	1	n/a	n/a	n/a	n/a	n/a
58.23705939	2.7	forage	0	2.219	n/a	n/a	n/a	-6.703631608	78.33333333	10	58.67385946	0
65.09545639	2.7	engage	0	1.847	40.15	19	1	n/a	n/a	n/a	n/a	n/a
75.23165608	2.7	forage	0	3.146	n/a	n/a	n/a	-22.52424425	63.33333333	20	65.66608822	0
83.37767214	2.7	engage	0	0.684	25.65	115.7	0	n/a	n/a	n/a	n/a	n/a
97.92380212	2.7	forage	0	2.192	n/a	n/a	n/a	-4.356455913	91.66666667	20	60.5943363	0
107.8261604	2.7	engage	0	0.662	38.4	84.6	0	n/a	n/a	n/a	n/a	n/a
119.9637959	2.7	forage	0	4.073	n/a	n/a	n/a	4.303007897	76.66666667	20	50.52746341	0
127.8916695	2.7	engage	0	2.093	48.5	45.85	0	n/a	n/a	n/a	n/a	n/a
139.5802464	2.7	forage	0	5.746	n/a	n/a	n/a	-1.278731787	55	10	41.78074544	0
148.1737298	2.7	engage	0	2.583	16.8	32.2	0	n/a	n/a	n/a	n/a	n/a
157.7621825	2.7	forage	0	1.562	n/a	n/a	n/a	-32.17424844	65	10	71.4723354	0
164.3560214	2.7	engage	0	0.735	86.45	14.7	1	n/a	n/a	n/a	n/a	n/a
174.7148141	2.7	forage	0	2.787	n/a	n/a	n/a	-6.789945174	73.33333333	10	57.19684624	0
183.3548942	2.7	engage	0	1.685	23.65	40.25	1	n/a	n/a	n/a	n/a	n/a
192.1439239	2.7	forage	0	2.436	n/a	n/a	n/a	29.97194306	90	5	30.28610231	1
202.7911946	2.7	forage	0	1.7	n/a	n/a	n/a	-12.51495062	70	20	61.91947085	0
209.7532711	2.7	engage	0	1.981	77.5	32.4	0	n/a	n/a	n/a	n/a	n/a
220.2296172	2.7	forage	0	2.508	n/a	n/a	n/a	-4.707298426	73.33333333	10	56.09579498	0
229.1391902	2.7	engage	0	1.425	51	79.75	0	n/a	n/a	n/a	n/a	n/a
242.3235077	2.7	forage	0	4.78	n/a	n/a	n/a	20.48689368	85	20	35.40488406	0
250.2674317	2.7	engage	0	0.788	34.5	50.75	0	n/a	n/a	n/a	n/a	n/a
260.5065892	2.7	forage	0	1.906	n/a	n/a	n/a	-21.04830072	71.66666667	10	71.4723354	0
267.199821	2.7	engage	0	1.303	77.35	14.7	1	n/a	n/a	n/a	n/a	n/a
277.2611732	2.7	forage	0	3.165	n/a	n/a	n/a	29.57901346	76.66666667	20	20.58799859	0
284.2820162	2.7	engage	0	0.803	14.9	35.4	0	n/a	n/a	n/a	n/a	n/a
296.2357841	2.7	forage	0	1.627	n/a	n/a	n/a	-19.52257935	75	20	69.07741059	0
304.8825003	2.7	engage	0	1.23	52.65	44.4	1	n/a	n/a	n/a	n/a	n/a
319.5734778	2.7	forage	0	4.892	n/a	n/a	n/a	-11.3929296	75	5	61.91947085	0
328.5793294	2.7	engage	0	0.699	26.5	88.8	0	n/a	n/a	n/a	n/a	n/a
339.222433	2.7	forage	0	3.555	n/a	n/a	n/a	-7.420107976	85	10	60.11712188	0
345.7949481	2.7	engage	0	1.371	63.25	24.9	1	n/a	n/a	n/a	n/a	n/a
356.1511367	2.7	forage	0	3.151	n/a	n/a	n/a	14.66533877	81.66666667	20	38.15142598	0
363.5105334	2.7	engage	0	0.842	14.3	41.65	0	n/a	n/a	n/a	n/a	n/a
373.6988876	2.7	forage	0	2.674	n/a	n/a	n/a	-20.05698573	71.66666667	5	65.73607967	0
380.5970429	2.7	engage	0	1.495	46.8	53.2	1	n/a	n/a	n/a	n/a	n/a
389.7804521	2.7	forage	0	3.202	n/a	n/a	n/a	-9.951954127	75	10	60.5	0
398.9417244	2.7	engage	0	1.242	14.9	52.8	0	n/a	n/a	n/a	n/a	n/a
412.7854232	2.7	forage	0	1.633	n/a	n/a	n/a	-12.86345087	78.33333333	5	66	0
421.4402558	2.7	engage	0	0.941	51	14.4	1	n/a	n/a	n/a	n/a	n/a
430.2786123	2.7	forage	0	2.967	n/a	n/a	n/a	17.68334423	80	20	36.65089784	0
