onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005685961	2.7	forage	0	4.432	n/a	n/a	n/a	-17.06692152	73.33333333	20	67.3110256	0
17.63173008	2.7	engage	0	1.088	43.45	109.85	0	n/a	n/a	n/a	n/a	n/a
29.72330062	2.7	forage	0	5.33	n/a	n/a	n/a	-3.373790721	65	10	51.40636789	1
44.80648707	2.7	forage	0	3.653	n/a	n/a	n/a	37.66469493	81.66666667	20	15.14305115	1
55.62036307	2.7	forage	0	3.395	n/a	n/a	n/a	-3.371835756	65	10	51.40636789	0
63.11222947	2.7	engage	0	6.158	36	25.75	1	n/a	n/a	n/a	n/a	n/a
81.47098002	2.7	forage	0	8.124	n/a	n/a	n/a	9.08016867	61.66666667	20	35.40488406	0
93.56039223	2.7	engage	0	0.84	36.5	50.4	0	n/a	n/a	n/a	n/a	n/a
103.4473702	2.7	forage	0	4.1	n/a	n/a	n/a	24.48732458	93.33333333	5	35.56450883	1
113.3479519	2.7	forage	0	4.076	n/a	n/a	n/a	-11.13655249	86.66666667	5	65.83816206	0
122.6252387	2.7	engage	0	3.327	28.8	7.5	1	n/a	n/a	n/a	n/a	n/a
135.2490023	2.7	forage	0	3.407	n/a	n/a	n/a	-1.096698691	76.66666667	10	50.62677934	0
143.8072852	2.7	engage	0	1.207	77	26.7	1	n/a	n/a	n/a	n/a	n/a
156.0943586	2.7	forage	0	3.213	n/a	n/a	n/a	21.77796389	91.66666667	10	38.15142598	1
165.8931175	2.7	forage	0	1.849	n/a	n/a	n/a	-16.87312174	78.33333333	10	70.45427795	0
172.5388709	2.7	engage	0	1.95	84.5	33.4	1	n/a	n/a	n/a	n/a	n/a
183.5312019	2.7	forage	0	1.982	n/a	n/a	n/a	-18.8808343	76.66666667	5	70.4617474	0
189.4378869	2.7	engage	0	0.841	32.8	98.15	0	n/a	n/a	n/a	n/a	n/a
203.6306777	2.7	forage	0	3.595	n/a	n/a	n/a	13.50803615	90	10	41.12509431	1
214.6297078	2.7	forage	0	3.284	n/a	n/a	n/a	-7.420901028	76.66666667	20	56.53953523	0
224.8856864	2.7	engage	0	1.364	37.95	51.3	0	n/a	n/a	n/a	n/a	n/a
235.4763926	2.7	forage	0	6.931	n/a	n/a	n/a	-3.844236541	61.66666667	10	46.92580856	0
