onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005686178	2.7	forage	0	2.853	n/a	n/a	n/a	-1.593057023	60	5	45.88368291	0
12.03168811	2.7	engage	0	0.707	61.6	66.6	0	n/a	n/a	n/a	n/a	n/a
21.28581642	2.7	forage	0	1.267	n/a	n/a	n/a	3.233014771	71.66666667	5	50.52746341	0
29.14724504	2.7	engage	0	0.847	21.5	46.55	0	n/a	n/a	n/a	n/a	n/a
40.09024073	2.7	forage	0	1.578	n/a	n/a	n/a	-5.610142012	80	20	60.57220462	0
47.94814337	2.7	engage	0	4.808	81.6	20.8	1	n/a	n/a	n/a	n/a	n/a
63.70849138	2.7	forage	0	0.812	n/a	n/a	n/a	-2.713860805	90	10	60.5	0
70.61142748	2.7	engage	0	0.902	4	27.5	0	n/a	n/a	n/a	n/a	n/a
83.06804737	2.7	forage	0	0.999	n/a	n/a	n/a	27.97085157	100	5	30.88199789	0
88.87699393	2.7	engage	0	0.981	20.4	40.8	1	n/a	n/a	n/a	n/a	n/a
98.51690984	2.7	forage	0	0.829	n/a	n/a	n/a	-9.343351273	60	10	51.20220311	0
105.1265847	2.7	engage	0	0.974	38.4	70.5	0	n/a	n/a	n/a	n/a	n/a
120.5701695	2.7	forage	0	1.22	n/a	n/a	n/a	10.93635297	85	20	43.89210804	0
126.4913417	2.7	engage	0	1.759	27.6	16.9	0	n/a	n/a	n/a	n/a	n/a
137.034749	2.7	forage	0	1.251	n/a	n/a	n/a	-28.13682075	60	10	70.45427795	0
143.7069064	2.7	engage	0	0.61	109.2	18.6	1	n/a	n/a	n/a	n/a	n/a
154.6967486	2.7	forage	0	0.69	n/a	n/a	n/a	7.950530657	85	5	50.52746341	0
161.2558746	2.7	engage	0	0.469	73	38.15	1	n/a	n/a	n/a	n/a	n/a
170.2470734	2.7	forage	0	0.749	n/a	n/a	n/a	-1.137642305	81.66666667	5	57.19684624	0
177.8047838	2.7	engage	0	0.572	59.95	11.5	1	n/a	n/a	n/a	n/a	n/a
188.0152462	2.7	forage	0	0.942	n/a	n/a	n/a	19.21297554	86.66666667	10	36.65089784	0
197.720289	2.7	engage	0	0.731	37.45	20.55	1	n/a	n/a	n/a	n/a	n/a
209.3095916	2.7	forage	0	2.018	n/a	n/a	n/a	-1.85968848	76.66666667	5	52.67451335	0
217.1857302	2.7	engage	0	14.018	75	45	1	n/a	n/a	n/a	n/a	n/a
240.5614616	2.7	forage	0	1.403	n/a	n/a	n/a	-16.56794427	78.33333333	5	66	0
249.3338007	2.7	engage	0	0.644	78	12.7	1	n/a	n/a	n/a	n/a	n/a
260.4249104	2.7	forage	0	0.826	n/a	n/a	n/a	14.48647788	91.66666667	5	45.8283537	0
267.3860904	2.7	engage	0	0.764	19.75	80.55	0	n/a	n/a	n/a	n/a	n/a
277.3268398	2.7	forage	0	0.838	n/a	n/a	n/a	-24.65036132	58.33333333	5	63.6050752	0
284.8816589	2.7	engage	0	0.849	33.6	40.7	0	n/a	n/a	n/a	n/a	n/a
299.9217806	2.7	forage	0	0.673	n/a	n/a	n/a	-0.437322066	81.66666667	20	55	0
305.8803481	2.7	engage	0	0.426	55	11	1	n/a	n/a	n/a	n/a	n/a
315.1277599	2.7	forage	0	3.122	n/a	n/a	n/a	-17.08324363	65	10	63.6050752	0
323.2125694	2.7	engage	0	1.568	40.15	49.2	0	n/a	n/a	n/a	n/a	n/a
