onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005692741	2.7	forage	0	5.906	n/a	n/a	n/a	32.13487249	95	5	25.31338967	1
19.56081248	2.7	forage	0	1.858	n/a	n/a	n/a	-13.83827775	71.66666667	5	61.91061818	0
28.41449416	2.7	engage	0	1.858	58.2	32	1	n/a	n/a	n/a	n/a	n/a
38.47324159	2.7	forage	0	0.896	n/a	n/a	n/a	-11.7008182	65	10	60.57220462	0
44.38011872	2.7	engage	0	2.28	60.6	62.8	0	n/a	n/a	n/a	n/a	n/a
55.15332561	2.7	forage	0	2.43	n/a	n/a	n/a	31.12869239	95	20	25.31338967	0
62.74566817	2.7	engage	0	0.564	26.75	10.2	1	n/a	n/a	n/a	n/a	n/a
73.49524485	2.7	forage	0	0.77	n/a	n/a	n/a	-24.61513505	63.33333333	20	65.65944872	0
80.31132358	2.7	engage	0	0.568	97.5	40.05	1	n/a	n/a	n/a	n/a	n/a
88.86580486	2.7	forage	0	1.82	n/a	n/a	n/a	19.71569673	80	10	32.30174539	0
99.62678771	2.7	engage	0	0.495	6.2	30.6	0	n/a	n/a	n/a	n/a	n/a
110.8843545	2.7	forage	0	0.395	n/a	n/a	n/a	44.87811143	98.33333333	5	15.14858408	0
116.8263661	2.7	engage	0	0.446	17.5	25.8	0	n/a	n/a	n/a	n/a	n/a
127.0141565	2.7	forage	0	1.495	n/a	n/a	n/a	21.01478967	85	10	30.29716815	0
134.6092219	2.7	engage	0	0.57	16.4	45.9	0	n/a	n/a	n/a	n/a	n/a
146.5107598	2.7	forage	0	0.458	n/a	n/a	n/a	10.34599031	83.33333333	5	46.92580856	0
152.3068634	2.7	engage	0	0.47	16.2	46.8	0	n/a	n/a	n/a	n/a	n/a
162.3651047	2.7	forage	0	0.811	n/a	n/a	n/a	11.78434686	88.33333333	5	45.81396811	0
170.124384	2.7	engage	0	0.589	72	26.25	0	n/a	n/a	n/a	n/a	n/a
179.5650407	2.7	forage	0	1.125	n/a	n/a	n/a	-27.34317858	55	20	67.30604597	0
185.5253744	2.7	engage	0	0.8	91.65	65.45	1	n/a	n/a	n/a	n/a	n/a
194.3587779	2.7	forage	0	1.743	n/a	n/a	n/a	24.33533524	90	10	30.29716815	0
203.2062267	2.7	engage	0	0.758	14.2	36	0	n/a	n/a	n/a	n/a	n/a
212.1900265	2.7	forage	0	0.453	n/a	n/a	n/a	20.94228996	75	10	35.40488406	0
218.1028603	2.7	engage	0	0.457	14.75	54.6	0	n/a	n/a	n/a	n/a	n/a
232.1399022	2.7	forage	0	0.905	n/a	n/a	n/a	-16.82430294	70	20	66.37264222	0
239.0348806	2.7	engage	0	2.613	50.05	44.8	0	n/a	n/a	n/a	n/a	n/a
248.8407052	2.7	forage	0	2.063	n/a	n/a	n/a	6.936862666	81.66666667	20	50.53410291	0
255.6838681	2.7	engage	0	1.201	22.75	36	0	n/a	n/a	n/a	n/a	n/a
264.7392019	2.7	forage	0	0.764	n/a	n/a	n/a	-22.79565247	70	10	70.45427795	0
272.3328236	2.7	engage	0	0.664	98.8	22.4	1	n/a	n/a	n/a	n/a	n/a
283.4362048	2.7	forage	0	0.6	n/a	n/a	n/a	-10.68567476	55	20	51.19003068	0
291.0983089	2.7	engage	0	0.823	56.5	29.2	1	n/a	n/a	n/a	n/a	n/a
299.0404021	2.7	forage	0	0.649	n/a	n/a	n/a	39.42576832	86.66666667	10	15.14305115	0
307.9972617	2.7	engage	0	0.451	24.45	13.7	1	n/a	n/a	n/a	n/a	n/a
319.687242	2.7	forage	0	0.753	n/a	n/a	n/a	26.07669299	73.33333333	20	25.60110155	0
326.4461412	2.7	engage	0	0.465	36	29.5	0	n/a	n/a	n/a	n/a	n/a
334.7878403	2.7	forage	0	0.66	n/a	n/a	n/a	14.20177221	80	20	35.40488406	0
342.5978814	2.7	engage	0	0.452	39.75	59.5	0	n/a	n/a	n/a	n/a	n/a
350.6072821	2.7	forage	0	1.046	n/a	n/a	n/a	13.68058951	88.33333333	5	45.42915346	0
358.5643225	2.7	engage	0	0.655	70.65	20.1	1	n/a	n/a	n/a	n/a	n/a
369.4193332	2.7	forage	0	0.508	n/a	n/a	n/a	-16.24795701	50	20	50.62677934	0
379.1810856	2.7	engage	0	0.487	82	51	1	n/a	n/a	n/a	n/a	n/a
391.1316667	2.7	forage	0	0.754	n/a	n/a	n/a	-4.68509297	75	5	57.20348574	0
398.0258143	2.7	engage	0	1.343	24.5	46.75	0	n/a	n/a	n/a	n/a	n/a
407.2156177	2.7	forage	0	0.625	n/a	n/a	n/a	-9.107261539	71.66666667	5	61.76399577	0
415.1614754	2.7	engage	0	0.797	16.2	101.4	0	n/a	n/a	n/a	n/a	n/a
424.9958972	2.7	forage	0	0.7	n/a	n/a	n/a	-0.736948175	73.33333333	5	49.5	0
432.8896354	2.7	engage	0	0.742	7.5	61.65	0	n/a	n/a	n/a	n/a	n/a
441.2317801	2.7	forage	0	0.786	n/a	n/a	n/a	8.889135355	80	20	45.44575223	0
448.0553547	2.7	engage	0	0.832	53.4	62.1	0	n/a	n/a	n/a	n/a	n/a
457.8943732	2.7	forage	0	0.839	n/a	n/a	n/a	-5.64942575	68.33333333	10	54.30478849	0
465.6377007	2.7	engage	0	0.908	70	20.25	1	n/a	n/a	n/a	n/a	n/a
476.8772839	2.7	forage	0	0.657	n/a	n/a	n/a	1.330243281	70	20	47.22541623	0
482.8199187	2.7	engage	0	1.012	48	51.3	0	n/a	n/a	n/a	n/a	n/a
493.9597458	2.7	forage	0	0.903	n/a	n/a	n/a	-16.95309089	66.66666667	5	63.0313113	0
502.9186972	2.7	engage	0	0.707	105.6	11.25	1	n/a	n/a	n/a	n/a	n/a
513.620175	2.7	forage	0	1.478	n/a	n/a	n/a	12.28697584	76.66666667	20	42.53654243	0
519.3688074	2.7	engage	0	0.826	6.75	35.6	0	n/a	n/a	n/a	n/a	n/a
530.7593307	2.7	forage	0	0.88	n/a	n/a	n/a	1.154757474	71.66666667	5	48.45261808	0
537.3665618	2.7	engage	0	0.527	23.7	58.95	0	n/a	n/a	n/a	n/a	n/a
546.3052897	2.7	forage	0	0.95	n/a	n/a	n/a	-11.69491642	58.33333333	5	50.64669785	0
555.098835	2.7	engage	0	0.63	43.8	30.5	0	n/a	n/a	n/a	n/a	n/a
565.18617	2.7	forage	0	0.779	n/a	n/a	n/a	-12.20844525	83.33333333	10	65.85061114	0
570.8319542	2.7	engage	0	0.496	7.05	77.4	0	n/a	n/a	n/a	n/a	n/a
579.7700985	2.7	forage	0	0.884	n/a	n/a	n/a	-21.77379575	55	5	60.91745888	0
586.5801929	2.7	engage	0	1.884	64.8	84	1	n/a	n/a	n/a	n/a	n/a
597.7197352	2.7	forage	0	1.072	n/a	n/a	n/a	8.910990393	80	10	48.43269956	0
604.3624231	2.7	engage	0	0.853	47.25	15	1	n/a	n/a	n/a	n/a	n/a
614.4686859	2.7	forage	0	0.553	n/a	n/a	n/a	3.571906175	90	5	55.56574116	0
621.0281022	2.7	engage	0	0.795	16.8	90.2	0	n/a	n/a	n/a	n/a	n/a
630.4162237	2.7	forage	0	0.718	n/a	n/a	n/a	-13.11888738	61.66666667	10	58.14020925	0
636.0272431	2.7	engage	0	1.06	29	57.2	0	n/a	n/a	n/a	n/a	n/a
648.776181	2.7	forage	0	0.6	n/a	n/a	n/a	-6.546422883	71.66666667	10	57.19684624	0
655.542702	2.7	engage	0	0.698	68.2	10	1	n/a	n/a	n/a	n/a	n/a
665.5826379	2.7	forage	0	0.721	n/a	n/a	n/a	-8.526267961	75	20	60.86129973	0
674.5421177	2.7	engage	0	1.418	57.6	38.5	1	n/a	n/a	n/a	n/a	n/a
686.0006957	2.7	forage	0	0.753	n/a	n/a	n/a	-16.23327633	80	5	67.3110256	0
691.7738447	2.7	engage	0	0.747	41.25	35.1	1	n/a	n/a	n/a	n/a	n/a
702.1660353	2.7	forage	0	5.18	n/a	n/a	n/a	21.88307094	98.33333333	20	38.14589306	1
714.0954697	2.7	forage	0	1.248	n/a	n/a	n/a	0.721216237	86.66666667	5	57.19684624	0
720.9386877	2.7	engage	0	1.691	80.3	27.25	1	n/a	n/a	n/a	n/a	n/a
731.2782278	2.7	forage	0	4.85	n/a	n/a	n/a	8.210799256	80	5	45.88368291	0
740.0874952	2.7	engage	0	1.664	60.2	20.25	1	n/a	n/a	n/a	n/a	n/a
751.9460238	2.7	forage	0	1.974	n/a	n/a	n/a	3.824354912	85	5	50.52746341	0
757.5531394	2.7	engage	0	0.905	75	27.65	1	n/a	n/a	n/a	n/a	n/a
768.8592211	2.7	forage	0	1.651	n/a	n/a	n/a	18.09314924	71.66666667	20	30.29716815	1
778.5119281	2.7	forage	0	3.37	n/a	n/a	n/a	-23.05413209	56.66666667	5	60.86129973	0
786.8013078	2.7	engage	0	0.598	78	36.05	1	n/a	n/a	n/a	n/a	n/a
801.0925871	2.7	forage	0	3.758	n/a	n/a	n/a	5.701896283	68.33333333	5	38.15142598	0
812.1163938	2.7	engage	0	1.141	12	36.4	1	n/a	n/a	n/a	n/a	n/a
820.3546232	2.7	forage	0	1.803	n/a	n/a	n/a	-15.82758413	76.66666667	5	68.91723253	0
826.315563	2.7	engage	0	0.708	101.4	29.25	1	n/a	n/a	n/a	n/a	n/a
838.2549601	2.7	forage	0	0.64	n/a	n/a	n/a	20.33925691	76.66666667	20	32.28846637	1
848.4061829	2.7	forage	0	2.412	n/a	n/a	n/a	-28.32093791	63.33333333	20	71.4723354	0
855.263815	2.7	engage	0	1.505	70.2	23.4	1	n/a	n/a	n/a	n/a	n/a
864.9716837	2.7	forage	0	3.734	n/a	n/a	n/a	14.6399611	71.66666667	20	36.65643076	1
876.6162936	2.7	forage	0	6.155	n/a	n/a	n/a	31.75263987	78.33333333	20	20.58799859	1
888.3673552	2.7	forage	0	1.735	n/a	n/a	n/a	0.534867461	68.33333333	10	48.45261808	0
897.1278934	2.7	engage	0	0.503	19.65	46.8	0	n/a	n/a	n/a	n/a	n/a
906.6329013	2.7	forage	0	4.014	n/a	n/a	n/a	-6.364813976	83.33333333	20	63.0313113	0
915.79337	2.7	engage	0	0.88	79.8	20.25	1	n/a	n/a	n/a	n/a	n/a
927.5869943	2.7	forage	0	0.999	n/a	n/a	n/a	-22.53394531	63.33333333	10	66	0
935.3588448	2.7	engage	0	1.61	6	57	0	n/a	n/a	n/a	n/a	n/a
945.7010395	2.7	forage	0	0.83	n/a	n/a	n/a	-23.2363865	65	20	65.74714552	0
952.3578686	2.7	engage	0	1.792	60.8	59.8	1	n/a	n/a	n/a	n/a	n/a
964.2465357	2.7	forage	0	1.639	n/a	n/a	n/a	3.811481649	70	10	45.81396811	0
972.1399809	2.7	engage	0	1.717	20.7	14.75	0	n/a	n/a	n/a	n/a	n/a
986.7464426	2.7	forage	0	3.438	n/a	n/a	n/a	14.40942273	68.33333333	10	35.55703938	0
994.2053022	2.7	engage	0	1.243	21.35	33	0	n/a	n/a	n/a	n/a	n/a
1004.100042	2.7	forage	0	3.207	n/a	n/a	n/a	-5.754237714	78.33333333	10	60.90666968	0
1011.17095	2.7	engage	0	1.14	95.4	28.8	1	n/a	n/a	n/a	n/a	n/a
1020.060269	2.7	forage	0	1.555	n/a	n/a	n/a	-17.22752377	65	20	64.60349077	0
1027.653286	2.7	engage	0	0.922	12.2	104.4	0	n/a	n/a	n/a	n/a	n/a
1038.759742	2.7	forage	0	5.936	n/a	n/a	n/a	39.77646329	103.3333333	10	20.30581963	1
1051.561826	2.7	forage	0	1.025	n/a	n/a	n/a	-12.36589373	78.33333333	10	65.65944872	0
1058.217998	2.7	engage	0	2.191	110.5	70.65	1	n/a	n/a	n/a	n/a	n/a
1071.857398	2.7	forage	0	1.087	n/a	n/a	n/a	22.40976812	100	5	38.15142598	0
1081.833259	2.7	engage	0	0.447	17.7	56.7	0	n/a	n/a	n/a	n/a	n/a
1095.52274	2.7	forage	0	0.716	n/a	n/a	n/a	-1.231038009	73.33333333	20	51.40636789	0
1102.248698	2.7	engage	0	1.39	44	40.5	0	n/a	n/a	n/a	n/a	n/a
1111.540968	2.7	forage	0	0.668	n/a	n/a	n/a	7.205172443	80	5	47.22541623	0
1118.114408	2.7	engage	0	0.661	41.4	46.4	1	n/a	n/a	n/a	n/a	n/a
1130.35557	2.7	forage	0	5.198	n/a	n/a	n/a	-0.82704257	58.33333333	5	41.78074544	0
1140.712921	2.7	engage	0	0.711	58	23.45	1	n/a	n/a	n/a	n/a	n/a
