onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005557658	2.7	forage	0	2.217	n/a	n/a	n/a	-22.89277367	76.66666667	20	71.4723354	0
13.91536374	2.7	engage	0	0.946	8.1	40.3	0	n/a	n/a	n/a	n/a	n/a
23.96518141	2.7	forage	0	2.402	n/a	n/a	n/a	1.184450816	71.66666667	20	51.46999648	1
32.31949369	2.7	forage	0	1.966	n/a	n/a	n/a	19.07339839	75	20	36.35848297	1
40.36962097	2.7	forage	0	2.45	n/a	n/a	n/a	31.62763275	83.33333333	5	25.31338967	1
50.46799756	2.7	forage	0	0.536	n/a	n/a	n/a	-23.77925825	71.66666667	10	71.5	0
57.17936687	2.7	engage	0	0.628	14.2	89.7	0	n/a	n/a	n/a	n/a	n/a
68.11828189	2.7	forage	0	3.504	n/a	n/a	n/a	14.64084637	81.66666667	20	41.17599718	0
76.52819936	2.7	engage	0	1.742	27	22.8	1	n/a	n/a	n/a	n/a	n/a
89.86375432	2.7	forage	0	2.064	n/a	n/a	n/a	-23.89229583	55	20	63.0313113	0
97.71020994	2.7	engage	0	0.702	58.2	20.5	1	n/a	n/a	n/a	n/a	n/a
105.815218	2.7	forage	0	2.62	n/a	n/a	n/a	0.516793253	73.33333333	20	50.62677934	0
114.6093943	2.7	engage	0	1.3	61	46.8	1	n/a	n/a	n/a	n/a	n/a
123.9639642	2.7	forage	0	3.342	n/a	n/a	n/a	3.148656171	65	20	42.53239274	0
130.2582917	2.7	engage	0	1.131	24.4	9.45	1	n/a	n/a	n/a	n/a	n/a
139.4452057	2.7	forage	0	1.269	n/a	n/a	n/a	-16.83724997	90	5	71.4723354	0
146.3572175	2.7	engage	0	0.706	39.65	10.05	1	n/a	n/a	n/a	n/a	n/a
156.1950875	2.7	forage	0	1.592	n/a	n/a	n/a	-5.593303489	91.66666667	20	60.90666968	0
162.7930261	2.7	engage	0	0.673	100.2	19.8	1	n/a	n/a	n/a	n/a	n/a
173.3841037	2.7	forage	0	0.977	n/a	n/a	n/a	-19.84430025	70	20	67.46816056	0
181.3401869	2.7	engage	0	0.739	50.05	28.5	1	n/a	n/a	n/a	n/a	n/a
190.429789	2.7	forage	0	2.704	n/a	n/a	n/a	-7.70883423	83.33333333	10	58.68741512	0
