onset	duration	trial_type	ExcludeBlock	RT	ExpValueLeft	ExpValueRight	Choice_isLeft	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage
6.005588577	2.7	forage	0	7.816	n/a	n/a	n/a	-1.539000386	81.66666667	5	55	0
17.01508132	2.7	engage	0	2.73	44	8.6	1	n/a	n/a	n/a	n/a	n/a
28.28595521	2.7	forage	0	10.854	n/a	n/a	n/a	-16.61089818	93.33333333	10	71.4723354	0
43.34679869	2.7	engage	0	2.046	65.65	14.1	1	n/a	n/a	n/a	n/a	n/a
53.98724644	2.7	forage	0	20.204	n/a	n/a	n/a	25.38640578	70	10	20.58799859	1
81.1325722	2.7	forage	0	16.584	n/a	n/a	n/a	-19.90748621	53.33333333	10	57.20348574	0
101.8266149	2.7	engage	0	9.597	30.75	61.6	0	n/a	n/a	n/a	n/a	n/a
121.7635317	2.7	forage	0	11.616	n/a	n/a	n/a	4.521170967	68.33333333	10	45.44575223	0
139.4909483	2.7	engage	0	7.284	54	37.8	1	n/a	n/a	n/a	n/a	n/a
155.4157059	2.7	forage	0	3.014	n/a	n/a	n/a	28.85338933	80	20	20.30581963	1
167.0313464	2.7	forage	0	18.705	n/a	n/a	n/a	-21.42889191	61.66666667	20	61.76399577	0
190.7377627	2.7	engage	0	2.519	46.8	67.2	0	n/a	n/a	n/a	n/a	n/a
203.242528	2.7	forage	0	11.025	n/a	n/a	n/a	8.145068156	68.33333333	10	41.17599718	1
219.6588078	2.7	forage	0	16.434	n/a	n/a	n/a	12.92267156	66.66666667	20	36.3604195	0
240.0514403	2.7	engage	0	4.221	15.6	24.5	0	n/a	n/a	n/a	n/a	n/a
252.5796079	2.7	forage	0	8.015	n/a	n/a	n/a	11.59327666	81.66666667	10	45.87704341	0
264.5498709	2.7	engage	0	3.76	49.5	50.4	0	n/a	n/a	n/a	n/a	n/a
277.311093	2.7	forage	0	17.796	n/a	n/a	n/a	12.17100582	66.66666667	20	36.3604195	1
302.7039794	2.7	forage	0	3.437	n/a	n/a	n/a	25.21180524	75	20	25.31338967	1
